ID,birth_year,gender,yr_experience,industry,occupation,num_employees,household_size,metro_regional,perc_RW_last_q,pref_perc_RW_last_q,perc_RW_last_yr,pref_perc_RW_last_yr,pref_RW_post_covid,update_RW_agreement_post_covid,worked_RW_past_six_months,frequency_RW,pref_frequency_RW,employer_onsite_policy,perc_required_onsite,employers_policy_suits_me,choose_level_of_RW,choose_which_days_RW,direct_manager_denies_allows_RW,feelings_about_employer_policy,six_months_employer_encouraged_RW,six_months_employer_prepared_employees_for_RW,six_months_common_to_RW,six_months_easy_to_get_permission,six_months_collaborate_easily_RW,pared_collab,six_months_RW_decreases_chance_of_promotion,six_months_take_more_breaks_RW,RW_positive_or_negative_for_employer,who_in_org_is_most_supportive_of_RW,post_covid_employer_would_encourage_RW,post_covid_emplolyer_would_make_changes_to_accomodate_RW,post_covid_more_choice_about_RW,hrs_spent_onsite_preparing_commuting,hrs_spent_onsite_working,hrs_spent_onsite_caring_domestic_activities,hrs_spent_onsite_personal_family_time,hrs_spent_onsite_sleep,hrs_spent_RW_preparing_commuting,hrs_spent_RW_working,hrs_spent_RW_caring_domestic_activities,hrs_spent_RW_personal_family_time,hrs_spent_RW_sleep,RW_paycut_interest,accepted_paycut,six_month_barriers_RW_caring_responsibilities,six_month_barriers_RW_connectivity,six_month_barriers_RW_company_software_systems,six_month_barriers_RW_difficulty_collaborating_remotely,six_month_barriers_RW_poor_management,six_month_barriers_RW_IT_equipment,six_month_barriers_RW_feeling_leftout_isolated,six_month_barriers_RW_extra_costs,six_month_barriers_RW_cyber_security,six_month_barriers_RW_tasks_that_cannot_be_done_remotely,six_month_barriers_RW_workspace_conditions,six_month_barriers_RW_motivation,six_month_barriers_RW_managment_discourages_remote_work,six_month_barriers_RW_living_situation,six_month_barriers_RW_lack_of_RW_skills,six_month_barriers_RW_health_safety_remote,hybrid_biggest_barriers_one,hybrid_smallest_barriers_one,hybrid_biggest_barriers_two,hybrid_smallest_barriers_two,hybrid_biggest_barriers_three,hybrid_smallest_barriers_three,hybrid_biggest_barriers_four,hybrid_smallest_barriers_four,hybrid_biggest_barriers_five,hybrid_smallest_barriers_five,hybrid_biggest_barriers_six,hybrid_smallest_barriers_six,hybrid_biggest_barriers_seven,hybrid_smallest_barriers_seven,hybrid_biggest_barriers_eight,hybrid_smallest_barriers_eight,hybrid_biggest_barriers_nine,hybrid_smallest_barriers_nine,hybrid_biggest_barriers_ten,hybrid_smallest_barriers_ten,hybrid_biggest_barriers_eleven,hybrid_smallest_barriers_eleven,hybrid_biggest_barriers_twelve,hybrid_smallest_barriers_twelve,hybrid_biggest_barriers_thirteen,hybrid_smallest_barriers_thirteen,hybrid_biggest_barriers_fourteen,hybrid_smallest_barriers_fourteen,feel_better_when_RW,pared_wellness,more_active_when_RW,feel_better_seeing_colleagues_onsite,do_you_manage_employees,managed_employees_RW,can_offer_RW_to_managed_employees,offering_RW_retains_employees,offering_RW_recruits_employees,team_works_well_RW,easy_to_manage_employees_RW,easy_to_manage_poor_performers_RW,well_prepared_to_manager_RW,managing_RW_more_results_focused,easy_to_contact_employees_RW,productivity_RW,managed_employees_productivity_RW
451,1982,Male,Between 1 and 5 years,Accommodation and Food,"Managers - Hospitality, Retail and Service Managers",Between 5 and 19,Couple with dependent children,Regional,10%,10%,10%,10%,10%,No,Yes,10%,10%,Yes,100%,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly Positive,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,3,Neither agree nor disagree,Somewhat agree,Strongly Positive,Senior leadership,Neither unlikely or likely,Very unlikely,Neither unlikely or likely,1,8,3,5,7,0,5,5,7,7,No,,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither agree nor disagree,3,Neither agree nor disagree,Neither agree nor disagree,Yes,No,,,,,,,,,,0%,0%
462,1993,Female,Between 1 and 5 years,Education and Training,Professionals - Education Professionals,More than 200,Single person,Metro,0%,0%,0%,0%,0%,No,No,,,Yes,100%,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither positive nor negative,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,3,Strongly disagree,Somewhat agree,Neither positive nor negative,They are about the same,Very unlikely,Very unlikely,Very unlikely,1.5,9.5,3,6,4,0,12,2,4,6,No,,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Significantly worsened,Not a barrier for me,Somewhat worsened,Significantly worsened,Somewhat improved,Not a barrier for me,Not a barrier for me,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither agree nor disagree,3,Strongly disagree,Somewhat agree,No,,,,,,,,,,,0%,
765,1994,Female,Between 1 and 5 years,Other Services,Professionals - Education Professionals,More than 200,Single person,Metro,10%,20%,20%,20%,20%,Yes,Yes,20%,20%,Unsure,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Positive,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,3,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,2,8,3,3,8,2,8,3,3,8,No,,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Difficulty collaborating with remote colleagues,Noisy work environment,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Difficulty innovating,Difficulty collaborating with remote colleagues,Lack of privacy,Difficulty innovating,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Difficulty innovating,Noisy work environment,Difficulty collaborating with remote colleagues,Noisy work environment,Difficulty innovating,Interruptions,Difficulty innovating,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Noisy work environment,Difficulty collaborating with remote colleagues,Lack of privacy,Difficulty collaborating with remote colleagues,Noisy work environment,Neither agree nor disagree,3,Somewhat disagree,Neither agree nor disagree,No,,,,,,,,,,,0%,
1358,1977,Male,More than 5 years,Information Media and Telecommunications,Professionals - ICT Professionals,Between 5 and 19,Couple with no dependent children,Metro,0%,0%,10%,0%,0%,Yes,No,,,No,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither positive nor negative,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,1,9,2,5,7,1,9,4,3,7,No,,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Difficulty collaborating with remote colleagues,Noisy work environment,Lack of appropriate work and meeting spaces,Lack of privacy,Interruptions,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Noisy work environment,Interruptions,Noisy work environment,Interruptions,Connectivity/internet issues,Noisy work environment,Difficulty innovating,Lack of appropriate work and meeting spaces,Noisy work environment,Difficulty innovating,Interruptions,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Lack of privacy,Lack of privacy,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Noisy work environment,Neither agree nor disagree,3,Neither agree nor disagree,Neither agree nor disagree,No,,,,,,,,,,,0%,
1293,1962,Male,More than 5 years,"Agriculture, Forestry and Fishing",Technicians and trades workers - Other Technicians and Trades Workers,I am a sole trader/owner-operator,Single person,Regional,70%,70%,10%,0%,0%,Yes,No,,,No,,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly Positive,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,3,Neither agree nor disagree,Neither agree nor disagree,Somewhat Positive,They are about the same,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,2.5,7,1,6.5,7,2.5,7,1,6.5,7,Yes,0.05,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither agree nor disagree,3,Neither agree nor disagree,Neither agree nor disagree,No,,,,,,,,,,,0%,
993,1993,Male,Between 1 and 5 years,Information Media and Telecommunications,"Technicians and trades workers - Engineering, ICT and Science Technicians",Between 5 and 19,Multiple family household,Metro,100%,100%,50%,50%,50%,No,No,,,No,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3,Neither agree nor disagree,Neither agree nor disagree,Somewhat Positive,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,3,8,1,5,7,0.5,8,1,6.5,8,No,,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Noisy work environment,Interruptions,Connectivity/internet issues,Problems with audio-visual setup,Connectivity/internet issues,Difficulty innovating,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Difficulty innovating,Interruptions,Noisy work environment,Problems with audio-visual setup,Interruptions,Lack of privacy,Difficulty innovating,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Difficulty innovating,Interruptions,Difficulty innovating,Difficulty collaborating with remote colleagues,Noisy work environment,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Interruptions,Noisy work environment,Difficulty innovating,Neither agree nor disagree,3,Neither agree nor disagree,Neither agree nor disagree,No,,,,,,,,,,,0%,
980,1969,Female,More than 5 years,Other Services,Professionals - Arts and Media Professionals,I am a sole trader/owner-operator,Single person,Metro,100%,100%,100%,100%,100%,No,No,,,Unsure,,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither positive nor negative,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,0,9,2,5,8,0,9,2,5,8,No,,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither agree nor disagree,3,Neither agree nor disagree,Neither agree nor disagree,No,,,,,,,,,,,0%,
1014,2002,Female,Between 1 and 5 years,Health Care and Social Assistance,Clerical and administrative workers - Inquiry Clerks and Receptionists,Between 20 and 199,Multiple family household,Regional,10%,10%,10%,10%,50%,No,Yes,10%,50%,Unsure,,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat Positive,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,3,Somewhat disagree,Strongly agree,Neither positive nor negative,They are about the same,Very unlikely,Very unlikely,Very unlikely,0.5,12,4.5,3,4,0,8,10,3,3,Yes,0.2,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Noisy work environment,Lack of privacy,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Lack of appropriate work and meeting spaces,Interruptions,Difficulty innovating,Connectivity/internet issues,Difficulty innovating,Noisy work environment,Noisy work environment,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Noisy work environment,Lack of privacy,Connectivity/internet issues,Noisy work environment,Interruptions,Difficulty innovating,Difficulty innovating,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Noisy work environment,Lack of privacy,Interruptions,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Neither agree nor disagree,3,Neither agree nor disagree,Neither agree nor disagree,No,,,,,,,,,,,50%,
1381,1991,Female,Between 1 and 5 years,Education and Training,Professionals - Education Professionals,Between 20 and 199,Couple with dependent children,Metro,50%,50%,50%,50%,50%,No,No,,,No,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,5,5,5,5,4,5,5,5,5,4,No,,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither agree nor disagree,3,Neither agree nor disagree,Neither agree nor disagree,No,,,,,,,,,,,50%,
989,1996,Female,Between 1 and 5 years,"Rental, Hiring and Real Estate","Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,Multiple family household,Regional,40%,20%,40%,20%,20%,No,Yes,10%,10%,Unsure,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither positive nor negative,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,3,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,My direct manger(s),Somewhat unlikely,Neither unlikely or likely,Neither unlikely or likely,0.5,7.5,3,4,9,0,7.5,2,4.5,10,No,,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Difficulty collaborating with remote colleagues,Interruptions,Problems with audio-visual setup,Connectivity/internet issues,Connectivity/internet issues,Interruptions,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Noisy work environment,Interruptions,Noisy work environment,Connectivity/internet issues,Interruptions,Lack of appropriate work and meeting spaces,Noisy work environment,Connectivity/internet issues,Noisy work environment,Problems with audio-visual setup,Interruptions,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Noisy work environment,Lack of appropriate work and meeting spaces,Interruptions,Problems with audio-visual setup,Noisy work environment,Neither agree nor disagree,3,Neither agree nor disagree,Neither agree nor disagree,No,,,,,,,,,,,30%,
